user_ucj19_1,admin1
user_ucj19_2,admin1
user_ucj19_3,admin1
user_ucj19_4,admin1
user_ucj19_5,admin1
user_ucj19_6,admin1
user_ucj19_7,admin1
user_ucj19_8,admin1
user_ucj19_9,admin1
user_ucj19_10,admin1
user_ucj19_11,admin1
user_ucj19_12,admin1
user_ucj19_13,admin1
user_ucj19_14,admin1
user_ucj19_15,admin1
user_ucj19_16,admin1
user_ucj19_17,admin1
user_ucj19_18,admin1
user_ucj19_19,admin1
user_ucj19_20,admin1
user_ucj19_21,admin1
user_ucj19_22,admin1
user_ucj19_23,admin1
user_ucj19_24,admin1
user_ucj19_25,admin1
